r: 211, g: 166, b: 124
r: 172, g: 126, b: 85
r: 125, g: 82, b: 39
r: 174, g: 130, b: 88
r: 198, g: 155, b: 115
r: 148, g: 104, b: 65
r: 152, g: 113, b: 74
r: 183, g: 144, b: 105
r: 184, g: 146, b: 111
r: 157, g: 120, b: 85
r: 162, g: 129, b: 95
r: 159, g: 126, b: 91
r: 168, g: 135, b: 103
r: 168, g: 135, b: 103
r: 140, g: 109, b: 76
r: 162, g: 131, b: 98
r: 167, g: 133, b: 92
r: 167, g: 133, b: 92
r: 169, g: 137, b: 96
r: 203, g: 171, b: 129
r: 128, g: 93, b: 53
r: 80, g: 46, b: 5
r: 172, g: 140, b: 96
r: 182, g: 150, b: 106
r: 145, g: 111, b: 70
r: 215, g: 181, b: 140
r: 188, g: 156, b: 112
r: 154, g: 122, b: 79
r: 205, g: 170, b: 129
r: 203, g: 169, b: 128
r: 160, g: 128, b: 86
r: 175, g: 143, b: 101
r: 184, g: 151, b: 119
r: 197, g: 164, b: 132
r: 182, g: 149, b: 115
r: 182, g: 149, b: 115
r: 192, g: 159, b: 127
r: 174, g: 140, b: 108
r: 170, g: 137, b: 103
r: 195, g: 162, b: 127
r: 179, g: 145, b: 113
r: 177, g: 144, b: 112
r: 149, g: 116, b: 82
r: 162, g: 129, b: 95
r: 198, g: 165, b: 133
r: 182, g: 148, b: 117
r: 174, g: 141, b: 106
r: 204, g: 171, b: 137
r: 144, g: 113, b: 82
r: 135, g: 103, b: 73
r: 191, g: 159, b: 129
r: 155, g: 123, b: 93
r: 104, g: 70, b: 39
r: 167, g: 133, b: 101
r: 192, g: 156, b: 123
r: 150, g: 114, b: 81
r: 170, g: 131, b: 94
r: 189, g: 150, b: 113
r: 166, g: 125, b: 86
r: 160, g: 119, b: 81
r: 182, g: 138, b: 98
r: 148, g: 104, b: 65
r: 146, g: 102, b: 62
r: 224, g: 180, b: 140
r: 196, g: 159, b: 121
r: 139, g: 101, b: 64
r: 177, g: 142, b: 103
r: 192, g: 157, b: 119
r: 181, g: 143, b: 106
r: 199, g: 162, b: 124
r: 181, g: 147, b: 108
r: 167, g: 133, b: 94
r: 172, g: 135, b: 98
r: 141, g: 104, b: 66
r: 151, g: 116, b: 78
r: 248, g: 213, b: 175
r: 219, g: 182, b: 144
r: 94, g: 57, b: 20
r: 123, g: 88, b: 50
r: 216, g: 181, b: 143
r: 147, g: 112, b: 60
r: 160, g: 125, b: 73
r: 176, g: 136, b: 86
r: 148, g: 108, b: 58
r: 139, g: 88, b: 41
r: 185, g: 133, b: 87
r: 185, g: 126, b: 80
r: 99, g: 40, b: 0
r: 164, g: 103, b: 60
r: 169, g: 108, b: 65
r: 177, g: 118, b: 72
r: 177, g: 118, b: 72
r: 167, g: 112, b: 67
r: 172, g: 118, b: 73
r: 187, g: 135, b: 89
r: 196, g: 145, b: 98
r: 161, g: 117, b: 79
r: 166, g: 122, b: 84
r: 157, g: 116, b: 75
r: 144, g: 103, b: 62
r: 154, g: 110, b: 72
r: 171, g: 127, b: 90
r: 169, g: 127, b: 87
r: 156, g: 115, b: 74
r: 166, g: 122, b: 84
r: 179, g: 136, b: 98
r: 155, g: 113, b: 73
r: 162, g: 120, b: 80
r: 154, g: 110, b: 72
r: 141, g: 97, b: 60
r: 180, g: 139, b: 98
r: 181, g: 140, b: 99
r: 140, g: 102, b: 69
r: 203, g: 165, b: 132
r: 186, g: 149, b: 114
r: 165, g: 128, b: 93
r: 183, g: 145, b: 112
r: 200, g: 162, b: 130
r: 199, g: 162, b: 126
r: 165, g: 128, b: 93
r: 221, g: 183, b: 151
r: 161, g: 123, b: 90
r: 144, g: 107, b: 72
r: 198, g: 160, b: 125
r: 206, g: 168, b: 135
r: 146, g: 108, b: 75
r: 158, g: 121, b: 86
r: 254, g: 216, b: 181
r: 183, g: 138, b: 96
r: 188, g: 142, b: 101
r: 206, g: 163, b: 121
r: 157, g: 114, b: 72
r: 166, g: 122, b: 82
r: 196, g: 152, b: 112
r: 140, g: 101, b: 62
r: 144, g: 105, b: 65
r: 193, g: 156, b: 121
r: 163, g: 126, b: 90
r: 144, g: 110, b: 76
r: 194, g: 161, b: 126
r: 165, g: 131, b: 99
r: 142, g: 109, b: 77
r: 191, g: 160, b: 127
r: 149, g: 118, b: 85
r: 138, g: 104, b: 63
r: 147, g: 113, b: 72
r: 162, g: 130, b: 89
r: 205, g: 173, b: 132
r: 173, g: 139, b: 98
r: 136, g: 102, b: 61
r: 169, g: 138, b: 94
r: 158, g: 126, b: 82
r: 199, g: 164, b: 124
r: 150, g: 115, b: 75
r: 177, g: 146, b: 102
r: 212, g: 181, b: 137
r: 163, g: 128, b: 88
r: 135, g: 100, b: 60
r: 172, g: 140, b: 98
r: 197, g: 165, b: 124
r: 116, g: 82, b: 50
r: 180, g: 146, b: 114
r: 252, g: 219, b: 184
r: 148, g: 115, b: 81
r: 127, g: 94, b: 62
r: 225, g: 192, b: 160
r: 194, g: 161, b: 126
r: 165, g: 131, b: 97
r: 237, g: 203, b: 171
r: 216, g: 182, b: 150
r: 126, g: 93, b: 59
r: 173, g: 140, b: 105
r: 195, g: 161, b: 129
r: 161, g: 128, b: 96
r: 206, g: 173, b: 139
r: 174, g: 141, b: 106
r: 147, g: 115, b: 85
r: 168, g: 136, b: 106
r: 142, g: 110, b: 80
r: 162, g: 130, b: 100
r: 172, g: 138, b: 106
r: 131, g: 97, b: 65
r: 152, g: 117, b: 83
r: 191, g: 155, b: 122
r: 196, g: 157, b: 120
r: 144, g: 104, b: 67
r: 170, g: 128, b: 90
r: 178, g: 136, b: 98
r: 120, g: 77, b: 37
r: 138, g: 94, b: 54
r: 191, g: 148, b: 108
r: 174, g: 130, b: 90
r: 133, g: 96, b: 58
r: 195, g: 157, b: 120
r: 195, g: 160, b: 122
r: 154, g: 120, b: 81
r: 199, g: 162, b: 124
r: 200, g: 163, b: 126
r: 135, g: 100, b: 62
r: 168, g: 134, b: 95
r: 182, g: 145, b: 107
r: 141, g: 104, b: 66
r: 167, g: 133, b: 94
r: 236, g: 201, b: 163
r: 174, g: 136, b: 99
r: 106, g: 69, b: 31
r: 156, g: 121, b: 83
r: 174, g: 140, b: 101
r: 168, g: 133, b: 81
r: 199, g: 164, b: 112
r: 141, g: 101, b: 51
r: 116, g: 77, b: 26
r: 193, g: 141, b: 95
r: 182, g: 131, b: 84
r: 130, g: 72, b: 25
r: 151, g: 93, b: 46
r: 179, g: 118, b: 75
r: 158, g: 97, b: 54
r: 169, g: 110, b: 64
r: 180, g: 122, b: 75
r: 164, g: 110, b: 65
r: 179, g: 125, b: 80
r: 198, g: 146, b: 100
r: 182, g: 131, b: 84
r: 182, g: 138, b: 100
r: 177, g: 133, b: 96
r: 155, g: 113, b: 73
r: 149, g: 108, b: 67
r: 166, g: 122, b: 84
r: 164, g: 120, b: 83
r: 150, g: 109, b: 68
r: 150, g: 109, b: 68
r: 168, g: 124, b: 86
r: 163, g: 119, b: 82
r: 143, g: 102, b: 61
r: 157, g: 116, b: 75
r: 148, g: 104, b: 67
r: 141, g: 97, b: 60
r: 180, g: 139, b: 98
r: 177, g: 136, b: 95
r: 160, g: 122, b: 89
r: 165, g: 127, b: 95
r: 171, g: 134, b: 99
r: 188, g: 150, b: 115
r: 172, g: 134, b: 102
r: 170, g: 132, b: 99
r: 196, g: 158, b: 123
r: 172, g: 135, b: 100
r: 158, g: 120, b: 88
r: 161, g: 123, b: 90
r: 161, g: 123, b: 88
r: 175, g: 137, b: 102
r: 183, g: 145, b: 112
r: 162, g: 124, b: 91
r: 158, g: 121, b: 86
r: 192, g: 155, b: 119
r: 179, g: 133, b: 92
r: 182, g: 137, b: 95
r: 165, g: 119, b: 78
r: 168, g: 123, b: 81
r: 170, g: 129, b: 88
r: 150, g: 109, b: 68
r: 154, g: 115, b: 76
r: 177, g: 138, b: 99
r: 176, g: 138, b: 103
r: 144, g: 107, b: 72
r: 193, g: 157, b: 124
r: 214, g: 178, b: 145
r: 172, g: 141, b: 108
r: 186, g: 155, b: 122
r: 187, g: 156, b: 124
r: 127, g: 96, b: 63
r: 151, g: 119, b: 77
r: 187, g: 155, b: 113
r: 167, g: 133, b: 92
r: 160, g: 126, b: 85
r: 183, g: 151, b: 110
r: 158, g: 126, b: 84
r: 141, g: 106, b: 65
r: 172, g: 138, b: 97
r: 181, g: 149, b: 107
r: 148, g: 116, b: 75
r: 170, g: 135, b: 94
r: 198, g: 163, b: 122
r: 173, g: 141, b: 99
r: 151, g: 119, b: 77
r: 160, g: 126, b: 85
r: 165, g: 131, b: 90
r: 168, g: 135, b: 101
r: 165, g: 131, b: 97
r: 191, g: 158, b: 126
r: 173, g: 139, b: 107
r: 132, g: 99, b: 64
r: 147, g: 114, b: 80
r: 176, g: 143, b: 111
r: 181, g: 147, b: 115
r: 176, g: 143, b: 109
r: 180, g: 147, b: 112
r: 175, g: 141, b: 110
r: 179, g: 145, b: 113
r: 181, g: 148, b: 113
r: 182, g: 149, b: 115
r: 176, g: 143, b: 111
r: 146, g: 112, b: 80
r: 157, g: 126, b: 95
r: 169, g: 137, b: 107
r: 143, g: 112, b: 81
r: 171, g: 140, b: 109
r: 180, g: 146, b: 114
r: 131, g: 97, b: 65
r: 152, g: 117, b: 83
r: 198, g: 162, b: 128
r: 148, g: 109, b: 72
r: 179, g: 139, b: 102
r: 162, g: 120, b: 82
r: 143, g: 101, b: 63
r: 163, g: 120, b: 80
r: 153, g: 109, b: 69
r: 131, g: 87, b: 47
